Wetland,Wetland Type,Zone,Transect,Quadrat,Sampling Date,Species Richness,Ambrosia artemisiifolia,Apocynum,Asclepias incarnata,Aster sp. ,Bulrush Sp. ,Carex vulpinoidea,Centaurea repens,Ceratophyllum demersum,Cirsium arvense,Dactyloctenium aegyptium,Eleocharis palustris,Elymus elymoides,Fil. Green Algae,Forb sp. ,Grass sp.,Hordeum jubatum,Juncus torreyi,Lemna Minor,Lemna trisulca,Lepidium draba,Lycopus Asper,Melilotus albus,Persicaria lapathifolia,Persicaria sp.,Phalaris arundinacea,Polygynum sp.,Pondweed sp.,Ranunculus sceleratus,River Bulrush,Rush sp.,Salix Exigua,Schoenoplectus acutus,Schoenoplectus americanus,Schoenoplectus tabernaemontani,Scirpus pallidus,Sedge sp.,Sium Suave,Solidago Canadense ,Solidago gigantea,Sonchus arvensis,Sparganium eurycarpum,Stuckenia pectinata,Symphyotrichum novae-angliae,Taraxacum,Tecrium Canadense,Toxicodendron radicans,Typha angustifolia,Typha latifolia,Typha xglacuca,Unknown sp. ,White top grass
Acheson,T,Emergent,1,3,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,40,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Acheson,T,Emergent,1,10,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,25,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Acheson,T,Emergent,1,22,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Acheson,T,Emergent,1,32,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Acheson,T,Emergent,2,9,7/21/16,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Acheson,T,Emergent,2,14,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Acheson,T,Emergent,2,25,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Acheson,T,Emergent,2,30,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
Beck,C,Emergent,1,0,7/19/16,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beck,C,Emergent,1,12,7/19/16,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,60,1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Beck,C,Emergent,1,26,7/19/16,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0
Beck,C,Emergent,1,35,7/19/16,,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beck,C,Emergent,2,8,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
Beck,C,Emergent,2,17,7/19/16,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0
Beck,C,Emergent,2,25,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,60,0,0
Beck,C,Emergent,2,34,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,40,0,0,0
Buffalo Lake,C,Emergent,1,9,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Buffalo Lake,C,Emergent,1,16,7/14/16,,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
